AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
49.2,45,70.15,93.49,21.12,92.45,39.17,51.05,171.67,34.83,149.1,21.3,62.5,44.71,31.52,73.6,88.66,37.15,28.55,20.93,18.37,64.97,54.59,38.86,79.43,18.15,35.47,41.2,54.85,76.58,
49.38,45.06,69.83,94.14,21.08,92.18,39.26,50.77,171.57,35.27,148.82,21.29,62.91,44.45,31.7,72.67,88.04,34.69,28.19,20.64,18.22,65.48,54.67,39.6,79.5,17.79,35.8,41.64,54.79,76.71,
49.78,46.25,70.07,94.01,21.21,92.83,39.29,51.17,175,35.89,150,21.08,62.55,44.91,31.57,74.06,88.1,34.23,28.3,21.02,18.34,65.53,54.63,40.77,79.08,17.78,35.46,41.44,54.81,77.84,
48.66,46.37,72.47,96.23,21.22,93.35,39.39,51.25,174.68,36.02,150.65,21.08,62.1,44.75,31.74,74.68,88.14,33.87,28.66,21.02,18.38,65.5,54.67,40.88,79.57,17.8,34.36,41.97,55.14,78.71,
48.41,45.24,71.73,95.54,20.82,92.97,39.09,50.09,166.49,35.63,155.69,21.01,62.56,43.71,31.71,75.35,87.96,33.91,28.47,20.92,18.32,65.35,54.45,40.56,79.91,17.28,34.6,41.28,55.03,78.24,
47.53,45.27,71.12,93.61,20.77,92.71,39.17,48.83,165.69,36.49,155.8,20.95,62.86,44.75,31.47,75.16,88.04,34.05,28.35,20.77,18.24,65.8,54.88,40.31,79.55,17.67,34.61,41.61,55.99,77.75,
46.67,46,71.68,92.75,20.73,93.78,39.74,49.12,166.2,36.51,155.5,20.82,62.66,45.29,31.39,75.01,89.29,33.9,28.02,20.58,18.36,65.91,55,40.41,80.2,17.54,34.95,41.69,55.73,78.98,
48.21,45.79,72.73,94.57,21.17,94.1,39.94,49.83,166.3,36.65,159.63,21.24,62.22,45.02,31.63,75.38,90.32,33.8,28.38,20.67,18.45,66.58,55.62,39.81,81.52,17.95,35.24,41.49,56.05,78.59,
48.77,44.8,72.24,94.39,21.54,94.08,39.86,50.24,161.98,37.16,161.44,21.55,61.08,44.87,31.48,75.48,88.5,33.36,28.45,20.72,18.47,66.7,56.23,40.62,81.73,17.9,35.79,41.24,57.26,78.68,
49.12,44.46,70.02,95.75,21.42,94.64,39.44,50.28,161.31,37.42,161.04,21.75,60.6,44.98,31.48,75.17,89.57,33.2,28.78,21,18.36,66.11,56.2,40.25,81.41,17.75,36.4,41.29,57.32,79.66,
49.03,44.54,70.56,96.63,21.44,94.75,39.46,50.65,164.03,37.98,161.07,21.75,60.68,45.1,31.35,74.35,89.19,33.25,28.87,20.69,18.48,64.18,56.63,42.29,82.59,17.65,36.49,41.07,57.57,79.88,
48.01,43.86,69.23,95.68,20.93,93.37,38.85,49.93,161.77,36.7,159.21,21.46,60.01,44.54,31.11,73.28,87.44,33.07,27.75,20.36,18.15,64.2,55.81,40.93,81.43,17.36,35.63,40.36,56.7,78.99,
48.47,43.38,69.48,97.01,21.15,94.93,38.87,50.53,163.62,36.77,162,21.46,59.77,44.94,31.43,73.67,87.92,33.17,27.73,20.62,18.22,63.13,56.26,41.05,81.3,17.46,35.62,40.44,56.07,80.68,
