AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
86.75,88.15,131.84,103.08,24.38,123.63,82.35,70.89,159.85,78.78,185.68,26.15,100.96,54.55,40.58,102.45,140.31,56.49,40.1,37.44,29.66,80.65,93.01,78.34,115.04,52.34,49.45,69.83,75.39,101.5,
87.73,88.78,132.41,104.03,24.52,123.37,83.32,72.17,160.16,79.18,185.94,26.29,100.98,54.53,40.58,102,141.14,56.81,40.12,37.92,29.49,80.52,92.86,78.77,115.54,53.02,49.74,69.79,75.61,101.32,
89.38,91.39,134.17,103.68,24.71,122.84,83.74,72.53,161.77,79.69,184.78,26.71,100.81,55.14,40.77,102.36,141.44,56.69,40.19,38.31,29.61,80.08,93.49,79.11,115.85,53.63,49.62,70.24,75.59,101.36,
89.14,91.06,134.33,102.91,24.82,122.52,83.6,73.73,161.19,79.68,183.08,26.88,100.3,55.45,40.58,101.3,141.43,56.4,40.01,38.14,29.61,80.1,93.46,78.58,115.95,53.45,49.74,69.81,75.53,101.06,
90.77,91.28,135.14,103.6,24.68,122.32,84.03,74.72,160.74,79.9,183.76,26.96,100.76,55.72,40.66,101.34,142.39,57.7,40.34,38.19,29.6,80.4,94.1,79.37,116.35,53.67,49.72,71.11,75.98,101.27,
90.43,91.5,135.25,102.23,24.62,122.79,84.01,74.22,159.81,80.23,184.36,27.32,101.46,55.57,40.91,101.43,142.55,57.86,40.94,38.46,29.63,80.79,93.45,79.63,116.22,53.71,49.96,71.91,76.77,100.53,
89.81,91.89,135.9,103.76,24.78,122.21,84.27,74.78,160.03,80.84,185.69,27.26,102.17,55.35,40.86,102.03,142.32,57.93,40.79,38.36,29.71,80.36,93.71,79.47,117.4,53.38,50.05,72.01,76.76,99.94,
91.08,91.73,135.88,104.49,24.68,122.55,83.88,74.92,161.8,80.67,184.37,27.66,102.46,55.6,40.88,101.45,142.89,57.91,40.29,37.78,29.59,79.93,93.41,79.88,117.82,52.83,49.29,71.56,76.71,100.39,
92.12,91.81,135.33,104.31,24.5,122.35,84.24,74.74,162.39,80.54,184.51,27.6,102.68,55.68,40.79,102.44,142.26,57.93,40.32,38.07,29.64,79.86,94.67,80.51,117.14,52.86,49.15,74.56,77.13,100.04,
92.48,92.8,136.82,106.96,24.7,123.52,84.78,74.94,162.58,80.38,185.98,27.66,103.22,56.63,40.89,102.45,143.71,58.1,41.21,37.94,29.76,80.11,94.97,79.8,118.17,53.06,49.28,75.6,77.32,100.55,
92.22,94.91,138.25,108.18,24.83,124.19,84.61,75.66,166.19,80.64,186.37,28.17,103.18,56.97,40.99,101.96,144.64,57.85,41.48,38.12,29.42,80.03,94.36,79.93,118.9,53.25,49.42,75.03,77.21,101.6,
93.7,95.57,137.96,108.75,24.8,124.37,85.48,75.46,166,80.61,186.22,27.91,103.22,57.42,40.91,101.38,145.32,57.94,41.27,38.34,29.35,80.09,94.66,79.76,120.09,53.15,49.57,74.92,77.01,101.52,
94.25,95.28,137.25,109.31,25,125.34,84.75,75.69,166.36,80.74,184.29,28.24,104.1,57.9,41.07,100.88,144.97,58.49,41.11,38.16,29.5,80.15,95.1,79.81,119.13,53.56,49.52,74.74,76.62,101.46,
93.86,95.08,134.1,108.69,25.04,125.18,84.31,75.28,165.43,79.81,182.25,27.93,103.32,57.27,40.86,100.42,144.41,58.81,40.86,37.57,29.43,80.06,94.9,80.17,118.3,53.17,49.37,74.67,76.16,101.95,
92.29,94.76,132.19,106.65,24.66,126.11,82.8,74.05,165.96,78.43,181.22,27.96,102.53,57.04,40.42,99.76,143.07,58.3,40.58,37.39,29.45,79.76,95,79.44,116.85,52.94,49.04,72.47,75.73,101.66,
91.28,94.85,132.29,106.77,24.7,127.26,82.8,74.62,165.89,78.07,182.56,29.87,102.53,57.04,40.37,100.49,143.36,58.24,41.23,37.31,29.53,79.64,95.41,79.18,116.79,52.82,49.18,73.06,75.28,102.65,
92.2,94.37,132.54,106.81,24.53,128.54,83.3,74.48,165.85,78.9,182.35,30.01,102.45,56.87,40.66,101.1,143.32,58.07,41.5,37.28,29.61,79.69,95.46,78,116.87,52.56,49.31,73.29,75.34,102.92,
92.08,94.66,132.45,106.67,24.5,128.83,83.16,74.05,168.22,80.02,182.26,29.95,101.93,57.42,40.92,101.27,143.69,58.06,41.68,37.55,29.48,79.58,95.22,78.17,117.01,52.7,49.21,73.1,74.99,102.42,
92.18,95.56,132.48,107.48,24.63,130.28,83.58,74.79,169.86,80.71,183.6,29.93,102.81,57.78,41.56,101.35,144.33,58.41,41.65,38.1,29.71,79.79,95.4,79.21,117.23,52.81,49.42,76.08,75.7,102.73,
91.86,95.07,132.82,107.25,24.71,131.99,83.77,74.15,169.73,80.44,182.82,30.09,103.81,57.3,41.79,101.91,144.49,58.3,41.51,37.82,29.59,80.24,95.6,80.51,117.58,52.58,49.47,75.39,75.87,102.63,
90.91,95.54,132.1,109.38,24.83,132.34,82.82,74.72,169.84,80.17,181.55,30.2,105.27,57.55,41.69,101.92,145.16,58.92,41.68,37.55,29.78,79.93,94.59,81.41,117.99,52.37,49.39,74.54,75.68,103.83,
90.83,95.51,130.85,108.78,24.7,132.98,82.76,75.32,170.24,80.64,182.14,30.23,104.75,58.19,41.73,101.91,144.09,58.5,41.99,37.73,29.45,79.52,94.95,81.49,117.13,52.37,49.73,73.73,75.79,104.38,
90.28,94.43,129.15,107.81,24.53,131.77,82.68,74.51,168.23,80.43,180.88,30.5,104.59,57.42,41.85,101.47,143.09,57.92,41.75,37.49,29.3,79.01,94.67,81.74,115.68,51.95,49.28,72.48,75.97,102.73,
90.36,94.64,127.06,108.44,24.72,131.23,83.9,74.92,168.38,80.53,180.72,30.88,105.76,57.53,41.96,101.61,143.65,58.86,42.03,38.24,29.8,79.32,94.86,82.34,116.12,52.27,49.41,74.19,75.62,102.14,
90.9,94.3,128.02,108.52,24.65,130.92,84.45,74.22,168.01,80.75,180.37,30.78,105.65,57.39,42.03,101.51,143.73,58.53,41.72,38.43,29.59,78.62,94.41,82.29,115.75,52.24,49.21,74.23,74.91,102.03,
91.98,94.93,128.54,108.78,24.7,130.36,85.3,73.5,166.78,81.13,181.71,30.93,104.99,57.53,42.19,101.46,143.69,57.53,42.25,38.84,29.67,79.02,93.92,82,116.58,52.32,49.32,74.1,75.34,101.21,
92.93,94.87,127.23,108.67,24.85,130.55,85.74,73.28,167.44,80.96,181.27,30.9,104.62,57.62,42.36,100.74,143.24,57.85,41.7,38.78,29.68,78.59,94.07,81.75,115.45,52.68,48.93,74.13,75.07,100.68,
